$ ./part1.py --debug -x 101 -y 103 input.txt
2024-12-13 23:54:43,703 INFO   : Starting ./part1.py to read input.txt...
2024-12-13 23:54:43,703 INFO   : Space is 101 by 103, will simulate 100 seconds
2024-12-13 23:54:43,704 DEBUG  : Loaded robot p=81,85 v=-35,88
2024-12-13 23:54:43,704 DEBUG  : Loaded robot p=89,76 v=-33,35
2024-12-13 23:54:43,704 DEBUG  : Loaded robot p=79,21 v=92,-25
2024-12-13 23:54:43,704 DEBUG  : Loaded robot p=64,67 v=-30,42
2024-12-13 23:54:43,704 DEBUG  : Loaded robot p=18,21 v=31,52
2024-12-13 23:54:43,704 DEBUG  : Loaded robot p=1,23 v=10,-13
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=36,24 v=60,13
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=89,34 v=-38,-51
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=70,91 v=-82,96
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=28,52 v=31,-5
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=96,102 v=-39,86
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=29,32 v=-71,52
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=72,71 v=-5,-65
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=93,26 v=-64,-55
2024-12-13 23:54:43,705 DEBUG  : Loaded robot p=40,97 v=73,-50
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=39,2 v=39,21
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=45,49 v=-80,72
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=82,29 v=-9,37
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=94,70 v=-67,95
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=31,77 v=5,84
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=23,19 v=47,23
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=85,0 v=91,97
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=72,4 v=42,47
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=89,89 v=-25,29
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=50,51 v=-86,40
2024-12-13 23:54:43,706 DEBUG  : Loaded robot p=1,93 v=35,-22
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=39,70 v=-74,-34
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=31,67 v=-98,61
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=56,80 v=49,-95
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=83,35 v=42,14
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=74,54 v=25,-63
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=1,24 v=-97,-94
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=61,69 v=45,65
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=61,50 v=-54,91
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=96,26 v=-62,58
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=83,25 v=-9,21
2024-12-13 23:54:43,707 DEBUG  : Loaded robot p=89,46 v=15,-51
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=56,59 v=11,62
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=47,3 v=-24,-72
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=3,68 v=-73,-73
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=25,77 v=-97,-34
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=39,69 v=-28,-95
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=63,48 v=65,48
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=80,26 v=92,14
2024-12-13 23:54:43,708 DEBUG  : Loaded robot p=27,73 v=-73,53
2024-12-13 23:54:43,709 DEBUG  : Loaded robot p=68,14 v=69,-59
2024-12-13 23:54:43,709 DEBUG  : Loaded robot p=38,65 v=-24,98
2024-12-13 23:54:43,709 DEBUG  : Loaded robot p=13,1 v=-12,-8
2024-12-13 23:54:43,709 DEBUG  : Loaded robot p=55,79 v=97,-57
2024-12-13 23:54:43,709 DEBUG  : Loaded robot p=88,19 v=41,82
2024-12-13 23:54:43,709 DEBUG  : Loaded robot p=14,102 v=54,-10
2024-12-13 23:54:43,710 DEBUG  : Loaded robot p=21,38 v=-95,-47
2024-12-13 23:54:43,710 DEBUG  : Loaded robot p=31,100 v=-74,-83
2024-12-13 23:54:43,710 DEBUG  : Loaded robot p=36,48 v=7,-75
2024-12-13 23:54:43,710 DEBUG  : Loaded robot p=55,65 v=41,-31
2024-12-13 23:54:43,710 DEBUG  : Loaded robot p=39,67 v=-74,61
2024-12-13 23:54:43,710 DEBUG  : Loaded robot p=72,85 v=86,-37
2024-12-13 23:54:43,711 DEBUG  : Loaded robot p=32,97 v=28,-83
2024-12-13 23:54:43,711 DEBUG  : Loaded robot p=28,13 v=-68,-77
2024-12-13 23:54:43,711 DEBUG  : Loaded robot p=25,37 v=-17,-93
2024-12-13 23:54:43,711 DEBUG  : Loaded robot p=40,41 v=-66,4
