$ ./part1.py --debug input.txt
2024-12-05 00:02:49,076 INFO   : Starting ./part1.py to read input.txt...
2024-12-05 00:02:49,077 INFO   : Found 49 pages with rules and 203 updates in 1380 lines of input
2024-12-05 00:02:49,077 DEBUG  : Invalid update [46, 17, 63, 48, 59, 76, 75, 78, 16, 73, 49, 53, 57, 18, 36], 17 must be after 63
2024-12-05 00:02:49,078 DEBUG  : Invalid update [25, 73, 98, 54, 21, 59, 39, 45, 75, 71, 99, 92, 82, 31, 35, 33, 42, 51, 61, 29, 53, 58, 93], 25 must be after 73
2024-12-05 00:02:49,078 DEBUG  : Invalid update [82, 53, 42, 58, 59, 33, 39, 21, 25, 51, 71, 78, 45], 82 must be after 53
2024-12-05 00:02:49,078 DEBUG  : Invalid update [73, 31, 98, 78, 84, 75, 53, 17, 93, 21, 39, 92, 48, 82, 58], 73 must be after 78
2024-12-05 00:02:49,078 DEBUG  : Invalid update [71, 16, 46, 32, 54, 29, 44], 16 must be after 46
2024-12-05 00:02:49,078 DEBUG  : Invalid update [44, 63, 17, 31, 82, 86, 93, 39, 37], 63 must be after 86
2024-12-05 00:02:49,078 DEBUG  : Invalid update [25, 28, 21, 54, 92, 99, 24, 46, 71, 42, 56, 32, 84, 51, 55], 28 must be after 21
2024-12-05 00:02:49,078 DEBUG  : Invalid update [17, 39, 85, 75, 16, 86, 48, 59, 98, 49, 53, 13, 57, 11, 45, 63, 37], 39 must be after 85
2024-12-05 00:02:49,078 DEBUG  : Invalid update [36, 49, 16, 73, 78, 76, 57, 75, 55, 44, 19], 36 must be after 49
2024-12-05 00:02:49,078 DEBUG  : Invalid update [18, 93, 39, 54, 45, 31, 17, 92, 51, 82, 11], 93 must be after 39
2024-12-05 00:02:49,078 DEBUG  : Invalid update [11, 29, 55, 57, 76, 48, 18], 11 must be after 29
2024-12-05 00:02:49,078 DEBUG  : Invalid update [84, 42, 61, 98, 28, 82, 71, 35, 21, 32, 79, 93, 56, 54, 99, 92, 25, 24, 58, 29, 51], 84 must be after 42
2024-12-05 00:02:49,078 DEBUG  : Invalid update [98, 82, 61, 31, 53, 73, 92, 21, 33, 93, 58, 99, 25, 54, 75, 29, 71, 35, 59, 42, 84], 82 must be after 31
2024-12-05 00:02:49,078 DEBUG  : Invalid update [37, 95, 36, 28, 24, 11, 18, 85, 57, 19, 13, 63, 76, 86, 16, 46, 75], 37 must be after 95
2024-12-05 00:02:49,078 DEBUG  : Invalid update [32, 56, 61, 31, 51, 59, 82, 33, 79, 58, 21, 29, 71, 54, 45, 98, 93, 84, 92, 35, 24], 32 must be after 56
2024-12-05 00:02:49,078 DEBUG  : Invalid update [45, 75, 31, 85, 18, 11, 98, 25, 59, 93, 82, 13, 73, 63, 57, 16, 39], 45 must be after 75
2024-12-05 00:02:49,078 DEBUG  : Invalid update [37, 55, 78, 13, 76, 86, 46, 85, 11, 24, 63, 19, 36, 44, 75, 16, 53], 37 must be after 55
2024-12-05 00:02:49,078 DEBUG  : Invalid update [61, 86, 29, 16, 24], 86 must be after 29
2024-12-05 00:02:49,078 DEBUG  : Invalid update [37, 18, 95, 44, 57], 18 must be after 95
2024-12-05 00:02:49,078 DEBUG  : Invalid update [63, 18, 31, 59, 39, 25, 11, 48, 57, 44, 53, 98, 42], 59 must be after 39
2024-12-05 00:02:49,078 DEBUG  : Invalid update [84, 35, 21, 54, 71, 42, 61, 78, 48, 82, 98, 93, 31, 58, 51], 35 must be after 21
2024-12-05 00:02:49,079 DEBUG  : Invalid update [76, 78, 13, 37, 32, 85, 16, 24, 49, 28, 11, 57, 46, 63, 95, 19, 18, 44, 17], 78 must be after 13
2024-12-05 00:02:49,079 DEBUG  : Invalid update [13, 85, 19, 17, 36, 16, 63, 39, 78, 86, 57, 48, 37, 18, 75, 46, 95], 13 must be after 19
2024-12-05 00:02:49,079 DEBUG  : Invalid update [24, 32, 25, 46, 61, 49, 99, 84, 56, 54, 19, 28, 55], 24 must be after 32
